fact_id,brand,product,fact_key,fact_type,venue,program_kind,venue_source,program_source
fact:v3:foton:academic_year_2026_27_start_by_location_moscow:fd75446b71,foton,academic_year_2026_27,academic_year_2026_27.start_by_location.moscow,course_parameter,moscow_regular,regular,fact_key,product_or_fact_type
fact:v3:foton:ls_city_2026_foton_discounts_already_paid_2026_27:ad915e2f2e,foton,city_camp_2026,ls_city_2026_foton.discounts.already_paid_2026_27,discount,moscow_regular,camp_city,product_brand_fact_key,product_or_fact_key
fact:v3:foton:schedule_2026_27_groups_group_start_date_i133_krasnoselskaya_sun_1215_1335_math_3_4_olympiad_before_2027_05_23_client_sa:9cc058c84b,foton,schedule_2026_27,schedule_2026_27.groups.group_start_date_i133_krasnoselskaya_sun_1215_1335_math_3_4_olympiad_before_2027_05_23.client_safe_text,deadline,moscow_regular,olympiad,fact_key,product_or_fact_key
fact:v3:foton:locations_foton_addresses_1_address:0dea48e4cb,foton,locations_foton,locations_foton.addresses.1.address,location,moscow_regular,any,fact_key.address_index,manual_any_structural_tail
fact:v3:unpk:academic_year_2026_27_start_by_location_mfti_institutsky_9:c9b8640bfb,unpk,academic_year_2026_27,academic_year_2026_27.start_by_location.mfti_institutsky_9,course_parameter,dolgoprudny,regular,fact_key,product_or_fact_type
fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_location:a2f4979a55,unpk,city_camp_2026,ls_city_2026_unpk.dolgoprudny.location,camp_city,dolgoprudny,camp_city,fact_key,product_or_fact_key
fact:v3:unpk:locations_unpk_addresses_2_address:f2bc039e1c,unpk,locations_unpk,locations_unpk.addresses.2.address,location,dolgoprudny,any,fact_key.address_index,manual_any_structural_tail
fact:v3:foton:r4_1_owner_2026_06_12_foton_no_boarding_except_lvsh:41fa5e2046,foton,boarding_and_camps,r4_1_owner_2026_06_12.foton.no_boarding_except_lvsh,camp_lvsh,lvsh_mendeleevo,camp_lvsh,product_or_fact_key,product_or_fact_key
fact:v3:unpk:locations_unpk_addresses_4_address:23ccf26102,unpk,locations_unpk,locations_unpk.addresses.4.address,location,lvsh_mendeleevo,any,fact_key.address_index,manual_any_structural_tail
fact:v3:foton:academic_year_2026_27_start_by_location_online:a9d4c65225,foton,academic_year_2026_27,academic_year_2026_27.start_by_location.online,course_parameter,online,regular,structured_value.format_or_fact_key,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_online_olympiad_phystech_9_and_11_bot_behavior_when_asked:bd75e372da,unpk,online_olympiad_phystech_classes_9_11,prices_regular_2026_27.online_olympiad_phystech_9_and_11.bot_behavior_when_asked,price,online,olympiad,structured_value.format_or_fact_key,product_or_fact_key
fact:v3:unpk:locations_unpk_online_trial_fragment_available:f4bff46c12,unpk,locations_unpk,locations_unpk.online_trial_fragment.available,location,online,any,structured_value.format_or_fact_key,manual_any_structural_tail
fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b,foton,academic_year_2026_27,academic_year_2026_27.semester_1_weeks,course_parameter,any,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:ls_city_2026_unpk_discounts_already_paid_2026_27:c110ae8db2,unpk,city_camp_2026,ls_city_2026_unpk.discounts.already_paid_2026_27,discount,any,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:fiztech_olympiad_open_question:ea310a5a5f,unpk,fiztech_olympiad_general,fiztech_olympiad.open_question,program,any,olympiad,manual_any_structural_tail,product_or_fact_key
fact:v3:foton:r4_owner_2026_06_11_foton_center_visit_by_appointment:813095a701,foton,contacts_and_visits,r4_owner_2026_06_11.foton.center_visit_by_appointment,process,any,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27,foton,academic_year_2026_27,academic_year_2026_27.semester_2_weeks,course_parameter,any,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:academic_year_2026_27_start:1b2531b67a,foton,academic_year_2026_27,academic_year_2026_27.start,course_parameter,any,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489,foton,academic_year_2026_27,academic_year_2026_27.total_lessons,course_parameter,any,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:ls_city_2026_foton_discounts_former_student_same_brand:bd35ecad25,foton,city_camp_2026,ls_city_2026_foton.discounts.former_student_same_brand,discount,moscow_regular,camp_city,product_brand_fact_key,product_or_fact_key
