"rule_id","priority","brand_scope","rule","source_refs","expected_effect","manual_approval_needed"
"rule_001","P0","all","Исторический кандидат по умолчанию не является фактом.","semantic_rules;all_channels","запрет прямого импорта","yes"
"rule_002","P0","all","Возврат, жалоба, претензия, суд, прокуратура, спорная оплата всегда manager_only.","telegram;email","P0 route guard","yes"
"rule_003","P0","all","В P0 не собирать лишние персональные данные в чате.","semantic_rules","zero collect guard","yes"
"rule_004","P0","cross_brand_risk","Активный бренд один; cross-brand вопросы не автономить.","current_kb;telegram","brand isolation","yes"
"rule_005","P0","all","Статус оплаты, чека, договора, справки, СФР или ФНС не подтверждать без evidence.","email;telegram","payment document safety","yes"
"rule_006","P1","all","Цена, скидка, дата, место, расписание, наличие мест требуют primary source.","all_channels","freshness safety","yes"
"rule_007","P1","all","Вложения и OCR являются evidence only.","email_attachments;telegram_media","attachment safety","yes"
"rule_008","P1","all","Хороший ответ менеджера можно брать как стиль, но не как факт.","calls;telegram;email","style-only use","yes"
"rule_009","P1","all","Gold-ответ не копировать дословно.","gold_tz","anti-template","yes"
"rule_010","P1","all","При strong context не спрашивать уже известное.","pilot_feedback_tz","human context quality","yes"
"rule_011","P1","all","При ambiguous identity не персонализировать и уточнить по кому вопрос.","email;telegram","identity safety","yes"
"rule_012","P1","all","Email draft blocked без thread reconstruction и recipient guard.","email_audit","no wrong recipient","yes"
"rule_013","P2","all","Если факта нет, дать полезную безопасную рамку вместо пустого fallback.","telegram;gold_tz","usefulness","yes"
"rule_014","P2","all","Один следующий вопрос вместо длинной анкеты.","pilot_feedback_tz","human tone","yes"
"rule_015","P2","all","Служебные сообщения не считать клиентскими вопросами.","telegram;email","noise filter","yes"
"rule_016","P1","all","Каждая подтвержденная смысловая ошибка становится тестом, gate или чек-листом.","semantic_review_rules","regression discipline","yes"
"rule_017","P0","all","Бот не раскрывает, что он бот, ИИ или внутренняя модель.","claude_review","client tone safety","yes"
"rule_018","P0","all","Бот не показывает fact_id, source_id, JSON, debug-текст или служебные поля.","claude_review","service data leak safety","yes"
"rule_019","P0","all","Найденные плохие KB-факты должны уходить в карантин до исправления.","claude_review;current_kb_review","bad fact quarantine","yes"
"rule_020","P1","all","Style playbook не утверждать, если paid-proxy источники перекошены в одного менеджера.","claude_review;calls_paid_proxy","style balance","yes"
"rule_021","P1","cross_brand_risk","На вопрос о связи брендов использовать только canonical safe phrase из brand policy.","claude_review;current_kb","brand relation safety","yes"
