"candidate_id","brand","theme","gold_pattern_masked","source_refs","status","allowed_use","risk"
"gold_001","cross_brand_risk","answer_structure","Прямой ответ первым, затем один безопасный следующий вопрос.","current_gold;telegram","candidate","style_reference_only","medium"
"gold_002","cross_brand_risk","no_fact","Без точного факта дать полезную рамку без цифр и передать проверку менеджеру.","telegram;email","candidate","rule_candidate","medium"
"gold_003","foton","format_choice","Выбор онлайн/очно объяснять через цель, дорогу, записи и нагрузку ребенка.","calls","candidate","style_reference_only","medium"
"gold_004","unpk","format_choice","Объяснять формат УНПК без сравнения с Фотоном.","telegram;current_gold","candidate","style_reference_only","high"
"gold_005","cross_brand_risk","camps","По лагерям спрашивать класс, не возраст; места не обещать.","current_gold;telegram","candidate","rule_candidate","high"
"gold_006","foton","installment","Рассрочка только из current KB после исправления мусорного срока.","current_kb_review","blocked_until_fix","fact_candidate","high"
"gold_007","unpk","installment","Не обещать чужие банковские сервисы в УНПК.","current_gold;kb","candidate","rule_candidate","high"
"gold_008","cross_brand_risk","payment_status","Отвечать общей рамкой, статус оплаты только менеджеру.","email;telegram","candidate","manager_only_rule","high"
"gold_009","cross_brand_risk","documents","Справки и документы: общий порядок отдельно, индивидуальный статус отдельно.","email;telegram;kb","candidate","draft_pattern","high"
"gold_010","cross_brand_risk","tax_matkap","Госорган принимает решение, центр помогает с документами.","current_gold;email","candidate","style_and_rule","high"
"gold_011","cross_brand_risk","access","Признать проблему доступа, попросить минимум данных, передать проверку.","telegram;email","candidate","manager_draft_only","medium"
"gold_012","cross_brand_risk","composite_question","Если есть P0-часть, общий route не автономный, безопасную часть сохранить в черновике.","gold_tz;telegram","candidate","rule_candidate","high"
"gold_013","unpk","waiting_list","Лист ожидания не должен звучать как гарантированная запись.","current_kb_review","needs_fix","rule_candidate","medium"
"gold_014","cross_brand_risk","historical_style","Исторический хороший ответ используется как стиль, не как дословный шаблон.","calls;telegram","candidate","style_reference_only","medium"
