"candidate_id","brand","topic","candidate_type","candidate_text_masked","source_refs","status","risk","required_approval","notes"
"kb_fact_001","unpk","schedule","fresh_fact_needed","Для расписания нужен источник по классу, предмету, формату, площадке и дате актуальности.","telegram_next_analysis;current_kb","candidate","high","owner_and_rop","Не отвечать точным днем без fresh-факта."
"kb_fact_002","cross_brand_risk","price","fresh_fact_needed","Цены из истории нельзя использовать; нужны текущие price facts по активному бренду.","email_catalog;telegram;calls","candidate","high","owner_and_rop","Исторические цены остаются только примером вопроса."
"kb_fact_003","cross_brand_risk","discounts","fresh_fact_needed","Скидки требуют условий, периода действия и правила несуммирования.","telegram;calls;current_gold","candidate","high","rop","Не обещать индивидуальные скидки."
"kb_fact_004","foton","installment","kb_fix_needed","Текущий факт рассрочки содержит дату вместо количества месяцев.","current_kb_review","reject_until_fixed","high","owner","Заблокировать client-safe до исправления."
"kb_fact_005","foton","camp_price","kb_fix_needed","Текущий price-факт содержит технический sentinel early booking.","current_kb_review","reject_until_fixed","high","owner","Не показывать клиенту."
"kb_fact_006","unpk","camp_price","kb_fix_needed","Текущий price-факт содержит технический sentinel early booking.","current_kb_review","reject_until_fixed","high","owner","Не показывать клиенту."
"kb_fact_007","foton","city_camp","kb_fix_needed","Формулировка про бесплатно требует явного объекта услуги.","current_kb_review","needs_rewording","medium","owner","Иначе выглядит как бесплатный лагерь."
"kb_fact_008","unpk","transfer","kb_fix_needed","Формулировка про бесплатно должна явно говорить о включенном трансфере или услуге.","current_kb_review","needs_rewording","medium","owner","Иначе риск неверного смысла."
"kb_fact_009","unpk","trial_class","conflict_check","Формулировка про пробную неделю конфликтует с gold-запретом.","current_kb_review;current_gold","reject_until_fixed","high","rop","До согласования только manager_only."
"kb_fact_010","unpk","waiting_list","route_check","Лист ожидания не должен звучать как гарантированная запись.","current_kb_review","candidate","medium","rop","Лучше draft_for_manager."
"kb_fact_011","cross_brand_risk","documents","policy_needed","Документы и справки нужны как общий порядок плюс отдельный индивидуальный статус.","email;telegram;current_kb","candidate","high","owner_and_rop","Индивидуальный статус только менеджеру."
"kb_fact_012","cross_brand_risk","payment_status","policy_needed","Статус оплаты, чека и счета нельзя подтверждать без read-only evidence.","email;telegram","candidate","high","owner_and_rop","AMO/Tallanto must agree before any statement."
"kb_fact_013","cross_brand_risk","attachments","evidence_policy","OCR/PDF/photo/voice может быть только evidence-candidate.","email_attachments;telegram_media","candidate","high","owner","Не source of truth."
"kb_fact_014","unpk","camp","fresh_fact_needed","Лагеря требуют актуальных смен, цены, наличия мест, класса и направления.","telegram_next_analysis;current_kb","candidate","high","rop","Не говорить places available."
"kb_fact_015","cross_brand_risk","brand_relation","policy_needed","Нужен approved-текст для вопросов о связи брендов.","telegram;current_kb","candidate","high","dmitry_and_rop","Без сравнения условий."
"kb_fact_016","unknown","email_thread","system_gap","Для email нужен thread layer, last inbound, recipients, internal participants.","email_audit","blocked","high","technical_tz","До этого no email drafts."
"kb_fact_017","cross_brand_risk","known_context","behavior_rule","Если strong context уже найден, не спрашивать заново известные поля.","pilot_feedback_tz;telegram","candidate","medium","product_owner","Не раскрывать служебные данные."
"kb_fact_018","cross_brand_risk","ambiguous_identity","behavior_rule","При нескольких учениках или ambiguous identity не персонализировать ответ.","email;telegram;customer_timeline","candidate","high","product_owner","Мягко уточнить, по кому вопрос."
