dialog_id,target_message_id,topic_id,route,draft_text
foton_smoke_01,foton_smoke_01:client,theme:016_program_content,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_02,foton_smoke_02:client,theme:005_discounts,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_03,foton_smoke_03:client,theme:006_installment,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_04,foton_smoke_04:client,theme:007_matkap_payment,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_05,foton_smoke_05:client,theme:021_camps,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_06,foton_smoke_06:client,theme:008_tax_deduction,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_07,foton_smoke_07:client,theme:011_contract,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_08,foton_smoke_08:client,theme:008_tax_deduction,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_09,foton_smoke_09:client,theme:002_payment_method,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_10,foton_smoke_10:client,theme:013_schedule,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_11,foton_smoke_11:client,theme:009_refund,manager_only,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом."
foton_smoke_12,foton_smoke_12:client,theme:019b_negative_feedback,manager_only,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом."
foton_smoke_13,foton_smoke_13:client,theme:029_legal_question,manager_only,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом."
foton_smoke_14,foton_smoke_14:client,theme:019b_negative_feedback,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_15,foton_smoke_15:client,theme:016_program_content,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_16,foton_smoke_16:client,service:S2_unclear,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_17,foton_smoke_17:client,theme:001_pricing,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_18,foton_smoke_18:client,theme:006_installment,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_19,foton_smoke_19:client,theme:016_program_content,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_20,foton_smoke_20:client,theme:016_program_content,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_21,foton_smoke_21:client,theme:017_teachers,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_22,foton_smoke_22:client,theme:016_program_content,draft_for_manager,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_23,foton_smoke_23:client,theme:015_location_address,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_24,foton_smoke_24:client,theme:023_trial_class,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
foton_smoke_25,foton_smoke_25:client,theme:014_contacts,bot_answer_self,Здравствуйте! Уточним актуальные условия и вернемся с ответом.
